  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  352    352  22703      31.57       4389.8      2264.2
  353    353  22705      31.57       2500.4      1720.5
  354    354  22706      11.97       1239.6       889.3
  355    355  22707      30.77       7252.7      2307.2
  356    356  22715       2.76       3667.2      2340.4
  357    357  22723      18.70        805.5       558.0
  358    358  22724       1.92        525.0       384.9
  359    359  22727       1.92        158.1        89.1
  360    360  22757       0.25       1784.7      1285.0
  361    361  22758      33.97       3371.6      2103.1
  362    362  22772       0.38       2390.1      1629.4
  363    363  22996       4.43       2805.0      1998.3
  364    364  23045      38.05       2341.1      1674.3
  365    365  23046       3.84        403.9       282.5
  366    366  23049       6.21        279.5       164.4
  367    367  23059      33.17       8625.7      2374.7
  368    368  23067       5.81       1623.8      1155.2
  369    369  23070       1.92       1167.0       655.5
  370    370  23071      26.09       1863.0      1334.0
  371    371  23074       5.22       1091.2       743.8
  372    372  23081       5.81        123.8        34.9
  373    373  23083       6.21        937.3       672.9
  374    374  23084      11.97       3106.8      1396.9
  375    375  23085       1.92       1104.0       642.2
  376    376  23086      38.05       9299.2      2583.9
  377    377  23087       0.01        851.1       354.9
  378    378  23112       0.25        857.7       575.4
  379    379  23116       1.92        542.4       396.8
  380    380  23117       0.01        380.7       264.2
  381    381  23119      18.70        729.8       493.2
  382    382  23379       0.01       1305.9       344.8
  383    383  23425       3.01       1219.6       725.8
  384    384  23436       0.09        534.8       389.4
  385    385  23437       0.58        604.8       436.9
  386    386  23441       8.95       1173.4       831.0
  387    387  23445       0.01        561.6       325.3
  388    388  23456       0.34        193.2       100.8
  389    389  23460       2.61       1530.6      1047.5
  390    390  23475      11.97         37.5         7.6
  391    391  23480       0.58        660.2       432.3
  392    392  23488       1.92        311.1       216.6
  393    393  23493       0.09        969.8       662.6
  394    394  23494      26.29       4630.5      2790.3
  395    395  23502       2.61        736.2       523.9
  396    396  23514       1.43       2941.6      1231.7
  397    397  23515       5.22       2231.0       981.8
  398    398  23760       1.90       2756.2      1904.7
  399    399  23761       2.62        397.0       284.0
  400    400  23764       0.58        144.0        88.4
  401    401  23765       3.97        612.9       448.8
  402    402  23850      32.52        337.6       138.4
  403    403  23855       8.95        392.2       246.0
  404    404  23860       3.84        219.4       127.0
  405    405  24137       3.41       1313.2       901.5
  406    406  24138      13.45       4010.7      1492.1
